Video_ID,Channel_ID,Channel_Name,Video_Title,YouTube_URL,Transcript_Path,Family_Count,Family_List,Tool_Total_Mentions,Tool_List,Tactic_Total_Mentions,Dominant_Tactic,Platform_Signal,Tactic_Initial_Access,Tactic_Execution,Tactic_Persistence,Tactic_Privilege_Escalation,Tactic_Credential_Access,Tactic_Lateral_Movement,Tactic_Discovery,Tactic_Command_and_Control,Tactic_Exfiltration,Tactic_Impact,Tool_Cobalt_Strike,Tool_Mimikatz,Tool_PsExec,Tool_Rclone,Tool_MegaNZ,Tool_AnyDesk,Tool_TeamViewer,Tool_BloodHound,Platform_Windows,Platform_Linux,Platform_ESXi
V0122,C13,Palo Alto Networks Unit 42,CrushFTP & WMI Vulnerabilities | Beyond the Hunt | Episode 6,https://www.youtube.com/watch?v=RUqfw_ZNex8,transcripts/C13_Palo_Alto_Networks_Unit_42/V0122.txt,0,,0,,15,Lateral_Movement,Windows,3,3,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
V0121,C13,Palo Alto Networks Unit 42,Guardians of the Digital Age  How Gregory Jones Shapes Cybersecurity at Xavier University,https://www.youtube.com/watch?v=yEhhGhqrxc4,transcripts/C13_Palo_Alto_Networks_Unit_42/V0121.txt,1,Play,0,,4,Persistence,,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V0119,C13,Palo Alto Networks Unit 42,Need to Know Threats May 2024 | Beyond the Hunt | Episode 7,https://www.youtube.com/watch?v=nMzyh88JCIA,transcripts/C13_Palo_Alto_Networks_Unit_42/V0119.txt,0,,0,,11,Execution,Windows,1,7,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0
V0115,C13,Palo Alto Networks Unit 42,Vishing Villains and Voter Vigilance,https://www.youtube.com/watch?v=A-9yujO_dDc,transcripts/C13_Palo_Alto_Networks_Unit_42/V0115.txt,1,Play,0,,7,Initial_Access,,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
V0280,C31,Mandiant,Best Practices For Ingestion And Parsing in Google Security Operations,https://www.youtube.com/watch?v=7uoQqQBbu88,transcripts/C06_Mandiant_Google_Cloud_Security/V0058.txt,1,Play,0,,2,Persistence,Linux,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0
V0273,C31,Mandiant,"EP22 Jailbreaking, Prompt Injection, and the ""Agentic"" Flaw in MCP with Kevin Harris",https://www.youtube.com/watch?v=xSuxDQ0ZQe4,transcripts/C06_Mandiant_Google_Cloud_Security/V0051.txt,1,Play,0,,3,Initial_Access,,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V0274,C31,Mandiant,How Android Combats Mobile Scams,https://www.youtube.com/watch?v=99r8Ya0nzyY,transcripts/C06_Mandiant_Google_Cloud_Security/V0052.txt,1,Play,0,,6,Execution,ESXi,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
V0275,C31,Mandiant,"EP21 From HITB Origins to Agentic AI: Web3, Music & The Future of Hacking with Dhillon Kannabhiran",https://www.youtube.com/watch?v=_zaUf78aACU,transcripts/C06_Mandiant_Google_Cloud_Security/V0053.txt,1,Play,0,,3,Initial_Access,Windows,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
V0279,C31,Mandiant,Using Gemini to Build Rules and Searches for Google SecOps,https://www.youtube.com/watch?v=jASM45DtQ5U,transcripts/C06_Mandiant_Google_Cloud_Security/V0057.txt,1,Qilin,0,,0,,Windows,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
V0278,C31,Mandiant,Simplifying Security and Log Ingestion: Bindplane + Google SecOps,https://www.youtube.com/watch?v=fzhbWb9oAEI,transcripts/C06_Mandiant_Google_Cloud_Security/V0056.txt,1,Qilin,0,,2,Execution,Windows,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,45,8,1
V0277,C31,Mandiant,Data Pipeline Management in Google SecOps,https://www.youtube.com/watch?v=zruKcuSgzNI,transcripts/C06_Mandiant_Google_Cloud_Security/V0055.txt,2,"Play, Qilin",0,,2,Initial_Access,Windows,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,11,0
V0282,C31,Mandiant,"EP19 The Art of Deconstructing Problems: Tools, Tactics, and the ScatterBrain Obfuscator with Nin...",https://www.youtube.com/watch?v=PUV0JWKzuYo,transcripts/C06_Mandiant_Google_Cloud_Security/V0060.txt,2,"Play, Qilin",0,,13,Initial_Access,Windows,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2,0
V0410,C46,Dragos Inc,"Filling the OT Visibility Gap: Improve Detection, Response and Vulnerability Management",https://www.youtube.com/watch?v=eG7_-NID6Dc,transcripts/C46_Dragos_Inc/V0410.txt,1,Play,0,,63,Initial_Access,Windows,49,0,9,0,0,2,0,0,1,2,0,0,0,0,0,0,0,0,2,1,0
